id_artigo,ano,titulo,autores,abstract,topic_tfidf,tema_tfidf,topic_bertopic,tema_bertopic
110,2024,Uma Adaptação do Mobile Device Proficiency Questionnaires para um Público de Idosas da Região Amazônica,Gleiciane A. Fernandes (Unifesspa); Gabriel Silva (Unifesspa); Cecília Ionara P. de Araújo (Unifesspa); Breno Wendel P. de Araújo (Unifesspa); Dhennifer Alves (Unifesspa); Isaque Severino (Unifesspa); Léia S. de Sousa (Unifesspa),"A falta de competências digitais e a pobreza são grandes impeditivos para que as mulheres idosas da região amazônica possam ter acesso à informação, comunicar-se efetivamente e resolver tarefas do dia-a-dia pela internet. Uma universidade federal do interior da Amazônia em parceria com outras instituições tem implementado ações para inclusão digital de mulheres idosas por meio da realização de oficinas, cursos livres e projetos de extensão. Este trabalho apresenta uma adaptação em linguagem simples do Questionário de Proficiência em Dispositivos Móveis (MDPQ) com foco em smartphones, uma ferramenta utilizada nas etapas iniciais do levantamento. São apresentados ainda os resultados da aplicação do referido questionário para um público de mulheres idosas amazônicas e uma análise dos pontos identificados. Os achados demonstram que as mulheres idosas desejam aprender a operar aplicativos móveis de maneira autônoma para se beneficiarem do uso de dispositivos e serviços móveis.",1,Cluster 1,-1,-1_computação_mulheres_meninas_cursos
111,2024,O Uso do Instagram para Divulgação de Projetos nas Área de STEAM: Uma Análise do Perfil @MermãsDigitais,Gabriel Vieira Lima (IFMA); Yasmin Milhomem de Oliveira (IFMA); Lailla Galeno da Silva (IFMA); Vinicius Schineider Januário Viana (IFMA); Aricelma Costa Ibiapina (IFMA); Thiago Paiva Freire (IFMA); Simone Azevedo Bandeira de Melo Aquino (IFMA),"O estudo analisou o perfil no Instagram do Projeto Mermãs Digitais, uma iniciativa do Instituto Federal do Maranhão – Campus Imperatriz voltado para promover a participação feminina em áreas STEAM. Como metodologia, utilizou-se uma abordagem descritiva quantitativa e qualitativa, tendo métricas de publicações e da conta como objeto de análise. Os resultados indicaram que o uso estratégico de Reels como formato de publicação teve um impacto significativo no alcance e engajamento das postagens, indicaram ainda que os posts de entretenimento geraram um maior engajamento dos seguidores em comparação com outras categorias. Por fim, obtiveram-se percepções sobre estratégias digitais para outras iniciativas semelhantes.",1,Cluster 1,24,24_instagram_engajamento_postagens_descritiva
112,2024,Inspiring Women in Technology: Educational Pathways and Impact,Larissa F. Rodrigues Moreira (UFV); Liziane S. Soares (UFV); Adriana Z. Martinhago (UFV),"This paper presents initiatives aimed at fostering female involvement in the realm of computing and endeavoring to inspire more women to pursue careers in these fields. The Meninas++ Project coordinates activities at both the high school and higher education levels, facilitating dialogue between young women and computing professionals, and promoting female role models within the field. Our study demonstrated the significant impact of these activities on inspiring, empowering, and retaining female students in computing. Furthermore, higher education initiatives have fostered engagement among both women and men, promoting inclusivity, entrepreneurship, and collaboration to enhance women’s representation in the computing field.",6,Cluster 6,22,22_and_to_women_computing
113,2024,Análise Perceptiva de Estratégias de Conteúdo do projeto Katie em Mídias Sociais,Barbara de Lima (UFAL); Jucyelle Barros do Nascimento (UFAL); Eliana Silva de Almeida (UFAL); Raquel da Silva Cabral (UFAL),"O Katie é um projeto de extensão da Universidade Federal de Alagoas (UFAL) dedicado a aumentar a representatividade feminina nas áreas de Ciência, Tecnologia, Engenharia e Matemática (STEM). Reconhecendo o Instagram como ferramenta principal para promover ideias e causas, a pesquisa busca identificar estratégias eficazes para ampliar o alcance do grupo nessa plataforma. A metodologia da pesquisa inclui análise descritiva e exploratória de dados, além de métodos estatísticos e ferramentas visuais para uma compreensão mais aprofundada dos padrões de engajamento. Os resultados indicam que, atualmente, as publicações de maior engajamento estão relacionadas a reels de entretenimento associado à tecnologia.",1,Cluster 1,24,24_instagram_engajamento_postagens_descritiva
114,2024,Byjutech: criação de bijuterias sustentáveis com tecnologia,Eliza Matos da Silva (IFB); Amanda Alves dos Santos (IFB); Sara Stela S. T. Martins (IFB); Sylvana Karla S. L. Santos (IFB),"A obsolescência programada gera uma expectativa no aumento do descarte de dispositivos eletrônicos, resultando em resíduos que perduram no meio ambiente por longos períodos. Neste contexto, foi concebida a proposta de criação de bijuterias a partir de peças recuperadas de dispositivos eletrônicos, como teclado e placas de circuito impresso. A ideia do projeto consiste em gerar a reflexão sobre o consumo exagerado de tecnologia. Os resultados refletem uma resposta positiva e encorajadora daqueles que tiveram a oportunidade de interagir com o projeto e construir suas próprias bijuterias, peças únicas e feitas pelos próprios usuários.",1,Cluster 1,-1,-1_computação_mulheres_meninas_cursos
115,2024,Promoção de espaços voltados ao incentivo e formação de meninas e mulheres na área tecnológica: Um relato de experiência das alunas atuantes,Anne de Medeiros (Cefet/RJ); Amanda Amorim (Cefet/RJ); Victoria Cruzado (Cefet/RJ); Izabela da Silva (Cefet/RJ); Ana Viana (Cefet/RJ); Jullie de Aguiar (Cefet/RJ); Diego Brandão (Cefet/RJ); Fabrício Silva (Cefet/RJ); Rafaelli Coutinho (Cefet/RJ),"Este artigo tem por objetivo apresentar um relato de experiências de um projeto desenvolvido em escolas públicas por uma instituição de ensino superior no Brasil. O projeto promove espaços voltados à participação, incentivo e formação de alunos sobre conhecimentos básicos de robótica e programação com o foco para o empoderamento feminino no ensino básico. No artigo são ilustradas as percepções das bolsistas no que tange a importância do seu papel no projeto e os desafios impostos pelo retorno das atividades presenciais após o período pandêmico, como também ações de divulgação e trabalhos futuros. As bolsistas reconheceram a relevância de sua participação e conseguiram superar suas dificuldades, motivando outras mulheres para a área tecnológica.",1,Cluster 1,5,5_skills_soft_escolas_ensino
116,2024,Despertando meninas para a Tecnologia: a Jornada do Código X,Carmem L. S. Surmani (UFVJM / Projeto Social Código X); Lucas G. M. Santos (UFVJM); Mariane G. C. Oliveira (UFVJM); Daniella S. Paiva (Projeto Social Código X); Joanna R. Nogueira (Projeto Social Código X); Tamires M. Rezende (Projeto Social Código X); Joicymara S. Xavier (UFVJM / Projeto Social Código X),"A disparidade de gênero é evidente em áreas como a tecnologia. Para enfrentar esse desafio, surgiu o projeto Código X, que promove o empoderamento e a inclusão digital entre meninas de 9 a 14 anos. Inicialmente com aulas presenciais, o projeto se adaptou à pandemia com o 'Código X em Casa' e a 'Trilha Online'. Em 2022, foram introduzidas novas etapas, como a 'Maratona Tech', seguida pela 'Pré-Trilha' em 2023. Formalmente estabelecido como ONG em 2023, o projeto está desenvolvendo material para replicar sua metodologia, visando ampliar o interesse das alunas na Jornada Código X.",1,Cluster 1,0,0_stem_projeto_feminina_áreas
117,2024,Proposta de um Content Hub como Estratégia para Coleta e Centralização de Dados de Gênero sobre a Liderança de Mulheres na TI,Julia Milioranza Gomes (UFMT); Melissa Maria Souza de Carvalho (UFMT); Bruna Rocha Aguiar (UFMT); Karen da Silva Figueiredo Medeiros Ribeiro (UFMT),"O presente artigo apresenta a criação de um hub de informações como estratégia para a coleta e a centralização de dados de gênero sobre a liderança de mulheres na TI no Brasil. O desenvolvimento do hub foi baseado na elaboração de jornadas de usuárias, buscando compreender melhor seus objetivos e suas formas de interação. A versão preliminar do hub encontra-se disponível para uso e foi inicialmente populada com o resultado de pesquisas e notícias sobre liderança de mulheres na TI, realizadas por meio de uma curadoria acadêmica. Além disso, o hub funciona como landing page para a discussão da importância de dados de gênero e da temática de liderança de mulheres na TI e como interface para a coleta de novos dados sobre o assunto, ao abrigar uma pesquisa voltada para mulheres líderes na área.",4,Cluster 4,7,7_brasileira_brasileiras_negras_computação
118,2024,Gender Gap no Eixo Tecnológico de Informação e Comunicação: o caso do IFSC,Caroline R. V. S. Rauta (IFSC); Maykon Chagas (IFSC); Maria Clara Adão (IFSC); Jaqueline C. Brandão (IFSC),"Este trabalho apresenta um mapeamento da atuação de mulheres docentes nos cursos de Tecnologia de Informação e Comunicação no IFSC. Devido à ausência desses dados na Plataforma Nilo Peçanha, realizou-se uma coleta de dados em fontes institucionais de domínio público, os quais foram sistematizadas em uma planilha. A análise revelou que as mulheres representam apenas 14,56% do quadro docente, atuam majoritariamente nos cursos técnicos, de tipo Integrado. As mulheres com contrato temporário representam percentual maior em relação aos homens. Elas também apresentam, no geral, menor titulação. A invisibilização da ausência de mulheres na docência de TI ainda é um grande problema.",5,Cluster 5,-1,-1_computação_mulheres_meninas_cursos
119,2024,Formação de Pensamento Computacional para Encorajar Meninas em Situação de Vulnerabilidade Social a Seguirem a Área da Computação,Larissa Zózimo Antunes (FURB); Andreza Sartori (FURB); Luciana P. de Araújo Kohler (FURB); Mauricio Capobianco Lopes (FURB); Dalton Solano dos Reis (FURB); Fabricia Zucco (FURB),"Este artigo descreve o desenvolvimento de uma formação utilizando as competências do pensamento computacional com meninas dos anos finais do ensino fundamental em situação de vulnerabilidade social. Esta formação foi realizada em parceria com o CRAS visando oferecer às participantes uma introdução ao pensamento computacional. Como resultado, as meninas mostraram interesse em aprender mais sobre as diversas áreas da computação.",0,Cluster 0,1,1_ensino_oficina_programação_alunas
120,2024,Superando Desafios: Mulheres em Projetos Open Source no GitHub,Cinthia Provesi Pissetti (UFSC); Luciana Bolan Frigo (UFSC); Isabela Gasparini (UDESC),"Com a baixa representatividade feminina em áreas de tecnologias da informação, o presente artigo faz uma análise do cenário de mulheres em ambientes colaborativos de código aberto. Para a pesquisa foram analisadas duas comunidades no GitHub e selecionados quatro repositórios. Apesar dos desafios e da baixa representação, observa-se um aumento gradual na participação das mulheres ao longo do tempo, ressaltando a necessidade contínua de políticas e iniciativas que promovam a igualdade de gênero nessas comunidades. Um dos achados desta pesquisa mostra que em um repositório específico para mulheres, elas realizaram 83.33% dos comentários, enquanto nos demais repositórios a participação delas é de cerca de 5.56%, apesar do percentual de mulheres ser praticamente igual ao de homens. Considera-se ainda a importância de pesquisas qualitativas futuras para compreender as motivações e desafios enfrentados pelas mulheres nessas áreas.",1,Cluster 1,-1,-1_computação_mulheres_meninas_cursos
121,2024,Uma revisão da literatura sobre ambientes digitais representativos para mulheres na área de Tecnologia da Informação com Gamificação e UX Design,Lailla Galeno da Silva (IFMA); Gabriel Vieira Lima (IFMA); Simone Azevedo Bandeira de Melo Aquino (IFMA); Eveline de Jesus Viana Sá (IFMA); Thiago Paiva Freire (IFMA),"Ambientes digitais que incentivam e estimulam o engajamento das mulheres na área de Tecnologia da Informação, podem ser uma solução eficaz para enfrentar os desafios de representatividade de gênero. Diante disso, este trabalho tem como objetivo apresentar os resultados da Revisão Sistemática da Literatura sobre ambiente digital representativos para mulheres na área tecnológica, aplicando gamificação e metodologias de UX Design, a fim de promover sua inclusão e desenvolvimento. Como resultado, 8 (oito) estudos foram classificados para responder às questões da pesquisa e mostraram que ainda existem lacunas sobre a criação de ambientes digitais que incentivem a participação feminina na tecnologia, aliados à gamificação e UX Design.",2,Cluster 2,-1,-1_computação_mulheres_meninas_cursos
122,2024,Introdução à Computação: Experiências na Construção do Conhecimento Tecnológico de Alunas do Mermãs Digitais,Vinicius Schineider Januário Viana (IFMA); Yasmin Milhomem de Oliveira (IFMA); Gabriel Vieira Lima (IFMA); Steffane de Oliveira Castro (IFMA); Aricelma Costa Ibiapina (IFMA); Simone Azevedo Bandeira de Melo Aquino (IFMA),"Este artigo examina o impacto da disciplina de Introdução à Computação no projeto de extensão Mermãs Digitais do IFMA – Campus Imperatriz. O estudo investigou a eficácia de diferentes metodologias de ensino, como gamificação, aprendizagem baseada em projetos e colaborativa, na promoção do engajamento e aprendizado das alunas. Utilizando método qualitativo descritivo, foram coletadas e analisadas 20 respostas de questionários respondidos pelas participantes. Os resultados indicaram uma recepção positiva das metodologias de ensino e da estrutura curricular utilizada, destacando a eficácia de projetos práticos e gamificação.",1,Cluster 1,1,1_ensino_oficina_programação_alunas
123,2024,Representatividade feminina na Olimpíada Brasileira de Informática: uma década de análise da Modalidade Programação Nível 2,Anna Paula Silva (UNIRIO); Maria Laura Soares (PUC-Rio); Larissa Coelho (CEFET/RJ); Gustavo Guedes (CEFET/RJ),"De acordo com a UNESCO, ao direcionarmos o foco para o âmbito da computação, torna-se ainda mais evidente a sub-representação das mulheres, tanto no cenário acadêmico, quanto profissional: apenas 5% dos profissionais de desenvolvimento de software são mulheres e em 61 de 115 países as graduadas em Ciência da Computação representam menos de 30% dos formandos. Assim, o cenário de desigualdade de gênero nas áreas de Tecnologia é perceptível em eventos ou competições do ramo. Nesse contexto, este trabalho objetiva realizar uma análise comparativa e quantitativa do gênero dos participantes da modalidade de Programação Nível 2 da Olimpíada Brasileira de Informática (OBI) para compreender a representatividade feminina neste nível.",5,Cluster 5,9,9_mulheres_teams_redes_análise
124,2024,Conhecer para Incluir: Qual é o Perfil de Mulheres Brasileiras Jogadoras de Jogos Digitais?,Estela Miranda Batista (UFV); Helena Cristo Martins (UFV); Maria Lúcia Bento Villela (UFV),"Apesar de um cenário igualitário entre o número de pessoas jogadoras entre os gêneros, as mulheres têm dito baixa representatividade nos jogos digitais. Neste contexto, o objetivo deste trabalho é entender o perfil e preferência de mulheres jogadoras brasileiras. A partir das respostas de um questionário aplicado a 72 mulheres jogadoras de jogos digitais, é possível observar que suas preferências variam no que concerne à forma como gostam de jogar e em relação aos tipos de jogos preferidos.",3,Cluster 3,10,10_jogos_personagens_digitais_desenvolvimento
125,2024,Café das Gurias: A Construção de um Ambiente Acolhedor para Fortalecer a Permanência de Mulheres na Computação,Laura Quevedo Jurgina (UFPel); Tiago D. Mackedanz (UFPel); Ana Carolina N. Konradt (UFPel); Louise Bezerra (UFPel); Kathe Beserra (UFPel); Maria Júlia Duarte Lorenzoni (UFPel); Bianca B. Dullius (UFPel); Leomar S. Rosa Júnior (UFPel),"Este trabalho apresenta o Café das Gurias, uma ação que emergiu como uma iniciativa para fortalecer a presença e a permanência de mulheres nos cursos de Computação, abordando tanto questões específicas enfrentadas por estudantes femininas quanto promovendo a inclusão de grupos transgênero. Dentre as várias ações, destacam-se os Cafés Educativos, que se tornaram plataformas de diálogo aberto, educação e transformação cultural dentro da comunidade acadêmica. Especificamente, o encontro com membros da empresa júnior propôs mudanças significativas nos processos seletivos, incentivando a diversidade e a equidade. Já o Café Trans Edition focou em sanar dúvidas e promover um entendimento mais profundo sobre as experiências transgênero, destacando a importância de um ambiente acadêmico inclusivo.",1,Cluster 1,0,0_stem_projeto_feminina_áreas
126,2024,Code.Ino: Construindo um Futuro Digital com o Protagonismo das Meninas em um Jogo para Programação,Bianca P. Castro (UnB); Hanani E. F. Soares (UnB); Thamires P. S. Schiavini (UnB); Maristela Holanda (UnB); Aleteia Araujo (UnB),"Este artigo destaca a importância da compreensão da lógica de programação, independentemente do paradigma utilizado. Ele introduz um jogo digital Code.Ino, desenvolvido por alunas de graduação em cursos relacionados à Computação, projetado para ensinar programação em Arduino de forma lúdica. O jogo visa auxiliar no aprendizado dos componentes do Arduino e na estrutura de programação por meio de fases distintas. Ele foi projetado para ser usado por meninas e meninos, mas o protagonismo do jogo é dado às mulheres, enfatizando que programação também é coisa de menina. Os resultados indicaram sucesso em despertar o interesse das meninas pelo assunto com a representatividade.",3,Cluster 3,1,1_ensino_oficina_programação_alunas
127,2024,Bits de Ada: ações de estímulo à permanência feminina no curso de Bacharelado em Ciência da Computação do IFMA Campus Caxias,Heloisa Guimarães Coelho (IFMA); Luis Fernando Maia Santos Silva (IFMA); Samore Ellen Pacheco Barbosa (IFMA); Alexia Rodrigues Silva (IFMA); Sabrina Pachêco Silveira (IFMA); Jose Wilker Pereira Luz (IFMA),"Este artigo relata as ações implementadas para a retomada do Projeto Bits de Ada no Instituto Federal do Maranhão, Campus Caxias, com o objetivo de incentivar a participação e a permanência de mulheres no curso de Bacharelado em Ciência da Computação. A metodologia adotada no projeto foi cuidadosamente planejada para criar um ambiente inclusivo, inspirador e educativo para as alunas, incentivando seu interesse pela tecnologia. Como resultado dessas ações, observou-se um aumento no número de matrículas femininas e uma redução na taxa de evasão do curso, demonstrando o impacto positivo do Bits de Ada e sua influência na formação e no desenvolvimento acadêmico das alunas.",1,Cluster 1,12,12_gurias_federal_computação_ação
128,2024,Uma História que está só Começando: Primeiros Passos de uma Iniciativa para Aumentar a Representatividade Feminina na Computação,Thalita Maria do Nascimento (UFPR); Mayara L. de F. Neves (UFPR); Heloísa B. Mendes (UFPR); Camilla L. Assolari (UFPR); Clausius D. G. Reis (UFV); Kamila T. Lyra (UFPR); Rachel C. D. Reis (UFPR),"Pesquisas mostram que o número de iniciativas em Universidades brasileiras para aumentar a representatividade feminina nos cursos de computação tem crescido ano após ano e alcançado cada vez mais mulheres e meninas. Este artigo apresenta uma iniciativa pioneira no Departamento de Informática da UFPR que visa impulsionar o ingresso e a participação de mulheres, e reduzir a evasão de estudantes do sexo feminino nos cursos de computação. A iniciativa iniciou suas atividades no ano de 2023 e, desde então, vem desenvolvendo ações nos três principais eixos de atuação da Universidade: ensino, pesquisa e extensão.",1,Cluster 1,-1,-1_computação_mulheres_meninas_cursos
129,2024,Desenvolvendo competências nas áreas STEM por meio de rodas de conversas e oficinas,Clara Freire M. Teixeira (IFRN); Maria Isabel M. Oliveira (IFRN); Maria Laura B. da Silva (IFRN); Alba Sandyra B. L. Campos (IFRN); Karolayne S. de Azevedo (UFRN),"Estudos apontam que meninas se interessam menos pelas áreas STEM (do inglês, Science, Technology, Engineering, and Mathematics), não por incapacidade cognitiva, mas por questões políticas, pela falta de estrutura educacional, social, cultural e principalmente devido a estereótipos. Este artigo apresenta ações do Projeto Ada, um projeto de extensão que visa promover a participação feminina nas áreas STEM. As atividades propostas incluem rodas de conversas, exibições de filmes temáticos e oficinas de desenvolvimento de jogos digitais com o objetivo de conscientizar sobre a baixa representatividade das mulheres nessas áreas.",1,Cluster 1,0,0_stem_projeto_feminina_áreas
130,2024,Programa de Incentivo a Meninas no Ingresso em Cursos da área de Computação: um Relato de Experiência em Jaboatão dos Guararapes,Viviane Cristina Oliveira Aureliano (IFPE); Maria Eduarda Santana dos Santos (IFPE); Vanessa Carla Pereira da Silva (IFPE); Emmanuele Ribeiro de Mendonça (IFPE),"A baixa representatividade feminina na área de Computação e TIC leva meninas e mulheres a enxergarem essa área como sendo masculina e também à crença que cursos nesta área não podem ser realizados por elas. No entanto, meninas e mulheres mostram-se mais interessadas na área de Computação e TIC quando elas possuem um modelo para inspirá-las. Com vistas a reduzir a baixa representatividade feminina e incentivar meninas e mulheres a ingressarem na área de Computação e TIC, várias iniciativas no Brasil e no mundo vêm sendo propostas. Dentro deste contexto, este artigo relata a experiência obtida em um projeto de extensão cujo objetivo foi promover ações para incentivo a meninas estudantes do ensino médio de escolas públicas localizadas no município de Jaboatão dos Guararapes a ingressarem em uma carreira na área de Computação e TIC.",2,Cluster 2,-1,-1_computação_mulheres_meninas_cursos
131,2024,Mulheres em Cargos de Liderança em Tecnologia: Uma Revisão Sistemática,Safyre A. Farao (UFSC); Andréa Sabedra Bordin (UFSC),"Existe uma grande desigualdade de gênero na área de Tecnologia de Informação e Comunicação. Consequentemente, somente algumas mulheres conseguem ocupar cargos de liderança nessa área. A motivação desta pesquisa é investigar as experiências de mulheres que exerceram ou exercem funções de gestão em TIC no Brasil, identificando os desafios enfrentados e as estratégias para lidar com eles. Para isso, foi realizada uma revisão sistemática de literatura, que culminou na análise de 10 trabalhos. O desafio mais identificado nos trabalhos foi a discriminação ou preconceito de gênero. Diversas estratégias de superação de desafios foram mencionadas nos trabalhos, ainda que pouco discutidas.",4,Cluster 4,3,3_brasil_feminina_cursos_superior
132,2024,Caminhos Percorridos: Reflexões do Projeto Meninas Digitais Dourados,Valguima Odakura (UFGD),"Neste artigo é apresentado um relato de experiência de cinco anos do Projeto Meninas Digitais Dourados, que objetiva promover a participação feminina na área de tecnologia da informação. As ações do projeto abrangem tanto o trabalho em escolas, com oficinas de tecnologias para meninas do ensino fundamental e médio, quanto encontros com grupo de graduandas na área de Computação, oferecendo suporte e acolhimento. Este relato oferece uma análise retrospectiva das ações realizadas, dos desafios enfrentados e das conquistas alcançadas durante a jornada do projeto. Por meio da análise do impacto das ações desenvolvidas refletimos sobre às lições aprendidas e possíveis caminhos para a busca da equidade de gênero na Computação.",0,Cluster 0,16,16_oficinas_ações_meninas_relato
133,2024,A machine learning examination of women’s leadership effectiveness in software development processes,Sâmara Ahyeska Alves Ferreira (IFTM); Danielli Araújo Lima (IFTM),"The inclusion of women in information technology companies and software development processes is vital for fostering diverse perspectives and innovative problem-solving. We analyzed 793 instances representing globally distributed software development teams, aiming to show that female-led teams outperform male-led ones. Through descriptive statistics and Welch’s t-test, we confirmed this hypothesis. Using a decision tree with only three inputs—female leadership presence, total team members, and female team members—we achieved 76.79% accuracy, significantly reducing computational time compared to using all 85 dataset attributes. This approach also informs recommendation systems for assembling development teams, emphasizing the value of gender diversity in enhancing team dynamics and solutions in the tech industry.",6,Cluster 6,9,9_mulheres_teams_redes_análise
134,2023,¿Cómo incentivar la educación STEM en niñas?: Una revisión de literatura,Kory Ponce (Universidad de Lima); Nadia Rodriguez-Rodriguez (Universidad de Lima); Franci Suni-Lopez (Universidad de Lima),"Around the world, women have a low representation in STEM careers. This phenomenon is puzzling when there is a labor market that increasingly requires professionals from these disciplines. Factors such as gender stereotypes and lack of information about these careers negatively affect girls' interest and motivation in this field. The objective of this article is to carry out a literature review of the various initiatives carried out to encourage STEM education in girls. Bootcamps, workshops, and serious games are the three types of most common initiatives. Of all these, serious games seem to have represented so far, a more effective strategy.",6,Cluster 6,11,11_mulheres_tecnologia_cientista_escolhas
135,2023,A História da Ada Silva: Livro para Representatividade na Computação,Patrícia Araújo-de-Oliveira (Unifap); Lorena Nunes (Unifap); Maiara Priscila Lima dos Santos (Unifap); Kamila Farias (Unifap); Adrilana Oliveira (Unifap),"A representatividade na Computação é um fator importante para o incentivo ao interesse pela área. Ainda se faz necessário um foco na desconstrução na representatividade desde a infância para que possamos ter mais diversidade na área. Este trabalho apresenta a construção de um livro que conta a história de uma protagonista feminina e negra, da Região Norte do Brasil, comumente colocada como coadjuvante ou ausente nos materiais atualmente encontrados.",2,Cluster 2,-1,-1_computação_mulheres_meninas_cursos
136,2023,A influência do gênero nos cursos de computação na UFES,Rebeca C. de Oliveira (UFES); Lucia Catabriga (UFES); Eliana Zandonade (UFES); Andrea Maria P. Valli (UFES); Maria Claudia S. Boeres (UFES); Camila Z. Aguiar (UFES),"O objetivo deste trabalho é apresentar, analisar e discutir a distribuição dos gêneros nos cursos de Ciência da Computação e Engenharia de Computação da Universidade Federal do Espírito Santo (UFES), com o intuito de investigar a baixa presença feminina atual. Estudos no mundo verificaram que houve uma grande inversão nos gêneros na computação, antes ocupada por mulheres criadoras de várias tecnologias e linguagens de programação. Essa realidade se repete na UFES, sendo mensurada nesse trabalho através dos dados, cedidos pela universidade, dos estudantes ingressantes nos cursos de 1990 a 2022. Na análise quantitativa foram considerados, para cada estudante, o ano de ingresso, a idade, o sexo, o curso e a forma de evasão. Além das análises descritivas, testes estatísticos de qui-quadrado de Pearson foram executados com o intuito de mensurar a influência do gênero na conclusão dos cursos.",5,Cluster 5,-1,-1_computação_mulheres_meninas_cursos
137,2023,Análise da presença feminina no corpo docente e sua relação com o corpo discente feminino nos cursos de TIC,Laís Pisetta Van Vossen (UDESC); Maria Teresa Silva Santos (UDESC); Daniella Martins Vasconcellos (UDESC); Guilherme Tomaselli Borchardt (UDESC); Carlos Daniel Schmitt Bunn (UDESC); Eric Carvalho da Silveira (UDESC); Isabela Gasparini (UDESC); Luciana Bolan Frigo (UFSC),"Segundo a Organização para a Cooperação e Desenvolvimento Econômico, as mulheres são maioria dos docentes em todos os níveis de ensino em diversos países, no entanto, em cursos de Tecnologia da informação e Comunicação (TIC), essa realidade é diferente. Este estudo analisou dados do ensino superior brasileiro de 2015 a 2019 em universidades que oferecem apenas cursos de TIC. O objetivo foi avaliar o impacto de ter um corpo docente com mais mulheres na presença e evasão feminina nesses cursos. Os resultados indicam que há uma correlação positiva entre a maior porcentagem de professoras e uma maior quantidade de estudantes mulheres e a diminuição de sua evasão nos cursos.",5,Cluster 5,3,3_brasil_feminina_cursos_superior
138,2023,Análise de Redações sobre Mulheres na Ciência: Uma Perspectiva de Estudantes do Ensino Médio,Kamilly Cristine Gomes (IFMG); Iolanda Agnes D. Ribeiro (IFMG); Cristiane N. Targa (IFMG); Michele A. Brandão (IFMG),"As mulheres na ciência precisam ser melhor representadas e enfrentam diversos desafios. No intuito de melhor entender essa realidade, este trabalho objetiva interpretar a percepção de alunos do ensino médio sobre a participação das mulheres na ciência. Para isso, foram analisadas redações submetidas a dois concursos de redação, realizados em 2020 e em 2022. Os resultados indicam que os alunos conhecem poucas personalidades, obras/filmes e fatos que sejam representativos de mulheres na ciência. Porém, os discentes conseguem argumentar sobre as mulheres na ciência de forma a apontar causas e possíveis soluções para os desafios enfrentados por elas.",5,Cluster 5,0,0_stem_projeto_feminina_áreas
139,2023,Análise do gênero de pesquisadores em eventos do Congresso da Sociedade Brasileira de Computação,Maria Laura Soares (CEFET/RJ); Anna Paula Silva (CEFET/RJ / Unirio); Érica Carneiro (CEFET/RJ); Luciana Varjolo (CEFET/RJ); Gustavo Guedes (CEFET/RJ),"Segundo dados do IBGE, as mulheres correspondem a 51,03% da população brasileira. Apesar disso, apenas 23% do total de pesquisadores na área de Computação são do gênero feminino. Diversos fatores sociais parecem ser responsáveis por essa lacuna, porém algumas ações que visam atrair mulheres para a área de informática vêm surgindo a fim de mitigar essa questão. Diante dessa disparidade, este estudo tem como objetivo comparar a representatividade de gênero na autoria de artigos publicados em eventos do Congresso da Sociedade Brasileira de Computação (CSBC) nos últimos cinco anos. Os resultados indicam que a autoria de artigos nesses eventos é predominantemente masculina, refletindo a disparidade de gênero presente na área.",4,Cluster 4,-1,-1_computação_mulheres_meninas_cursos
140,2023,Análise e reflexões sobre a diferença de gênero na computação: podemos fazer mais?,Raquel Lopes (UFPB); Beatriz Maciel (UFPB); Dayanny Soares (UFPB); Larrysa Figueiredo (UFPB); Marcus Carvalho (UFPB),"Este artigo apresenta uma análise atualizada da participação das mulheres em cursos superiores de tecnologia no Brasil. Mulheres representam menos de 20% dos estudantes ingressantes e menos de 16% dos graduados em cursos superiores de tecnologia no Brasil (2021). Identificamos cerca de 80 iniciativas que buscam atrair mais mulheres para a área, mas o aumento na representação feminina ainda não é significativo. É necessário uma discussão mais profunda e soluções mais permanentes para o problema.",5,Cluster 5,3,3_brasil_feminina_cursos_superior
141,2023,Aproximando Meninas da Área de STEM com Iniciação a Robótica,Luiza Castilho Ereno (UFSC); Ana Carolina Marcelino (UFSC); Andrea Bordin (UFSC); Luciana B. Frigo (UFSC),"Este artigo descreve a experiência de desenvolvimento e aplicação de oficinas de robótica para alunas do ensino fundamental de escolas públicas e privadas do município de Araranguá/SC. A metodologia aplicada está descrita neste artigo de modo a ser aprimorada e replicada. A robótica se mostrou uma atividade muito motivadora para as meninas, principalmente para as mais jovens, que acabaram criando um vínculo com seus robôs desenvolvidos. Os desejos das alunas ao final de cada oficina foram de levar o robô para casa, para as crianças do ensino fundamental I e de permanecer em contato com a tecnologia com novas atividades para as do ensino fundamental II.",0,Cluster 0,1,1_ensino_oficina_programação_alunas
142,2023,Autopercepção de Meninas do Ensino Básico em Relação às Carreiras de STEM,Aline de Galés Silva (UnB); Renata Muniz Prado (UnB); Mirella M. Moro (UFMG); Aleteia Araujo (UnB),"Existem vários motivos para a baixa presença feminina nas Ciências, Tecnologia, Engenharias e Matemática. A partir de um formulário original este estudo realizou uma análise qualitativa a fim de investigar a autopercepção de meninas do Ensino Básico em relação a fatores de importância na escolha da profissão. Entre os resultados, destacam-se que meninas percebem mais preconceito nas áreas de STEM e maior influência familiar para carreiras de cuidado, meninos percebem o justo oposto, demonstrando a clara discrepância de tratamento devido ao gênero atribuído.",5,Cluster 5,8,8_preconceito_políticas_dados_homens
